GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-petclinic-rest,org.springframework.samples.petclinic,PetClinicApplication,5,3,0,0,2,1,1,1,1,1
spring-petclinic-rest,org.springframework.samples.petclinic.model,NamedEntity,3,10,0,0,1,4,1,3,1,3
spring-petclinic-rest,org.springframework.samples.petclinic.model,Specialty,0,3,0,0,0,1,0,1,0,1
spring-petclinic-rest,org.springframework.samples.petclinic.model,Role,0,17,0,0,0,7,0,5,0,5
spring-petclinic-rest,org.springframework.samples.petclinic.model,PetType,0,3,0,0,0,1,0,1,0,1
spring-petclinic-rest,org.springframework.samples.petclinic.model,Vets,14,0,2,0,4,0,3,0,2,0
spring-petclinic-rest,org.springframework.samples.petclinic.model,Visit,0,29,0,0,0,12,0,7,0,7
spring-petclinic-rest,org.springframework.samples.petclinic.model,BaseEntity,0,17,0,2,0,5,0,5,0,4
spring-petclinic-rest,org.springframework.samples.petclinic.model,Owner,77,61,8,2,21,19,8,11,4,10
spring-petclinic-rest,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
spring-petclinic-rest,org.springframework.samples.petclinic.model,User,0,52,1,1,0,19,1,10,0,10
spring-petclinic-rest,org.springframework.samples.petclinic.model,Pet,4,61,0,2,2,19,1,11,1,10
spring-petclinic-rest,org.springframework.samples.petclinic.model,Vet,4,45,0,2,2,12,1,7,1,6
spring-petclinic-rest,org.springframework.samples.petclinic.service,UserServiceImpl,0,54,3,7,0,11,3,4,0,2
spring-petclinic-rest,org.springframework.samples.petclinic.service,ClinicServiceImpl,0,202,0,0,0,78,0,29,0,29
spring-petclinic-rest,org.springframework.samples.petclinic.repository.springdatajpa,SpringDataSpecialtyRepositoryImpl,4,43,1,1,0,6,1,2,0,2
spring-petclinic-rest,org.springframework.samples.petclinic.repository.springdatajpa,SpringDataPetRepositoryImpl,0,43,1,1,0,7,1,2,0,2
spring-petclinic-rest,org.springframework.samples.petclinic.repository.springdatajpa,SpringDataPetTypeRepositoryImpl,4,96,1,5,0,13,1,4,0,2
spring-petclinic-rest,org.springframework.samples.petclinic.repository.springdatajpa,SpringDataVisitRepositoryImpl,0,30,1,1,0,6,1,2,0,2
spring-petclinic-rest,org.springframework.samples.petclinic.rest,JacksonCustomOwnerDeserializer,0,76,0,2,0,19,0,4,0,3
spring-petclinic-rest,org.springframework.samples.petclinic.rest,JacksonCustomPetDeserializer,8,99,0,2,3,27,0,4,0,3
spring-petclinic-rest,org.springframework.samples.petclinic.rest,BindingErrorsResponse,15,141,1,15,3,37,2,14,1,7
spring-petclinic-rest,org.springframework.samples.petclinic.rest,JacksonCustomVisitDeserializer,8,82,1,1,3,23,1,3,0,3
spring-petclinic-rest,org.springframework.samples.petclinic.rest,JacksonCustomVisitSerializer,16,142,5,7,4,37,5,4,0,3
spring-petclinic-rest,org.springframework.samples.petclinic.rest,VetRestController,27,165,4,14,6,35,4,11,0,6
spring-petclinic-rest,org.springframework.samples.petclinic.rest,JacksonCustomOwnerSerializer,8,181,2,10,2,45,2,7,0,3
spring-petclinic-rest,org.springframework.samples.petclinic.rest,SpecialtyRestController,19,152,3,13,4,32,3,11,0,6
spring-petclinic-rest,org.springframework.samples.petclinic.rest,PetRestController,27,158,3,13,5,34,4,11,1,6
spring-petclinic-rest,org.springframework.samples.petclinic.rest,JacksonCustomPetSerializer,34,113,1,3,7,30,1,4,0,3
spring-petclinic-rest,org.springframework.samples.petclinic.rest,VisitRestController,33,152,7,13,7,31,7,9,0,6
spring-petclinic-rest,org.springframework.samples.petclinic.rest,UserRestController,15,27,2,2,3,6,2,2,0,2
spring-petclinic-rest,org.springframework.samples.petclinic.rest,OwnerRestController,12,213,3,21,3,44,3,16,0,7
spring-petclinic-rest,org.springframework.samples.petclinic.rest,RootRestController,4,3,0,0,2,1,1,1,1,1
spring-petclinic-rest,org.springframework.samples.petclinic.rest,PetTypeRestController,19,152,3,13,4,32,3,11,0,6
spring-petclinic-rest,org.springframework.samples.petclinic.rest,BindingErrorsResponse.BindingError,27,34,0,0,1,14,1,5,1,5
spring-petclinic-rest,org.springframework.samples.petclinic.rest,ExceptionControllerAdvice.ErrorInfo,0,15,0,0,0,4,0,1,0,1
spring-petclinic-rest,org.springframework.samples.petclinic.rest,ExceptionControllerAdvice,3,24,0,0,2,7,0,2,0,2
spring-petclinic-rest,org.springframework.samples.petclinic.security,BasicAuthenticationConfig,28,0,0,0,17,0,3,0,3,0
spring-petclinic-rest,org.springframework.samples.petclinic.security,DisableSecurityConfig,14,0,0,0,8,0,2,0,2,0
spring-petclinic-rest,org.springframework.samples.petclinic.security,Roles,0,12,0,0,0,4,0,1,0,1
spring-petclinic-rest,org.springframework.samples.petclinic.util,ApplicationSwaggerConfig,0,34,0,0,0,9,0,3,0,3
spring-petclinic-rest,org.springframework.samples.petclinic.util,EntityUtils,10,22,2,4,2,4,3,2,1,1
